config_id,fetchWidth,decodeWidth,MemDispatchWidth,MemIssueWidth,MemNumEntries,IntDispatchWidth,IntIssueWidth,IntNumEntries,FpDispatchWidth,FpIssueWidth,FpNumEntries,maxBrCount,numFetchBufferEntries,numRasEntries,numRobEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,numDCacheBanks,ICacheWay,ICacheFetchBytes,ICacheTLB,DCacheWay,DCacheMSHR,DCacheTLB,ipc_Dhrystone,ipc_median,ipc_mm,ipc_multiply,ipc_qsort,ipc_rsort,ipc_spmv,ipc_towers,ipc_vvadd,avg_ipc,power_w,area_um2,runtime_s
2029,4,3,3,2,32,3,2,16,3,2,64,16,24,16,96,64,64,24,24,2,2,8,8,2,4,8,1.5219040766601801,0.6569252077562326,1.1930490794596933,1.0666402046396755,0.5448866041196389,0.9715629592224637,0.9463419978635405,0.9723409605230073,0.9924603174603175,0.985123489744972,0.321014,1085858.221629,7036
2030,8,5,5,1,16,5,3,32,5,5,32,20,20,32,130,48,48,32,32,1,8,16,16,8,8,16,1.4409977317241218,0.7281240405280933,1.0570722773542314,1.1892702596380802,0.5954718908397094,1.3017667360994967,0.8926264661809539,0.8395570994355189,0.8562136254707292,0.9890111252523263,0.528944,1894299.07358,10075
2031,4,1,1,1,64,1,1,16,1,1,32,8,40,24,64,96,96,24,24,1,4,8,32,4,4,32,0.9913137951419031,0.5585256712199718,0.9634704968944099,0.7743412416354497,0.48942843452124013,0.9832843328662977,0.7975346829482237,0.7361507709880069,0.6669333333333334,0.7734425288387596,0.31236200000000003,1015314.079694,4567
2032,8,1,1,1,64,1,1,64,1,1,64,16,24,16,96,96,96,8,8,2,8,16,8,8,4,8,0.9367790639154504,0.5581313250176512,0.8898888490498387,0.7755579784504875,0.4969900472504273,0.9905478651711391,0.7330009547045719,0.6796133567662566,0.6674673071790765,0.7475529719449887,0.510186,1734332.244033,6396
2033,8,2,2,1,32,2,1,16,2,2,32,8,32,32,32,112,112,8,8,1,4,16,32,4,4,32,1.1272414565758477,0.6315579227696405,1.215604643189499,0.779658284977434,0.5623100442244344,1.2548604342696341,0.85445777173241,0.7425115207373272,0.8760070052539405,0.893801009303352,0.453571,1434959.483629,5544
2034,8,3,3,2,16,3,2,64,3,1,64,16,24,24,96,48,48,24,24,2,8,16,16,8,8,16,1.602069096104522,0.7402840643046668,1.0794154742747792,1.1466976435446399,0.5967225620796377,1.4221397249352203,0.9166644557056061,0.935866408518877,0.7796134663341646,1.024385877311346,0.527085,1851311.739974,8867
2035,8,3,3,2,16,3,1,16,3,2,64,12,24,24,96,96,96,16,16,2,2,16,16,2,2,16,1.3319832552148556,0.6616908482142857,1.419770036039128,0.7781781910614884,0.5700389284528247,0.880355150661409,1.0073473671934223,0.9068949343339587,0.8856232294617564,0.9379868822925699,0.469225,1472125.505805,8109
2036,4,4,4,2,16,4,4,64,4,3,64,12,16,32,128,112,112,32,32,2,2,8,8,2,4,8,1.618703909837206,0.6733390119250426,1.1832657926102503,1.090544257564143,0.5500300407218675,0.9748595241755051,0.9402639814940809,0.9849719816607234,1.0592969080897925,1.0083639342309567,0.362328,1354411.235685,11837
2037,8,5,5,2,16,5,1,64,5,3,16,12,40,24,130,112,112,32,32,2,4,16,8,4,2,8,1.3199965960826585,0.6781527023162711,2.2889421746749057,0.7821292283810879,0.5742316180741085,1.3930767979173446,1.0900772992585581,1.033680834001604,0.8824982357092449,1.115865054046198,0.505641,1742414.717805,11093
2038,4,4,4,1,64,4,4,32,4,3,64,16,32,24,96,112,112,24,24,1,4,8,32,4,4,32,1.5792072487867785,0.6717178869848464,1.6008126934984521,1.1000181933957973,0.5507113988690696,1.5836362123019727,1.003077459063988,0.8570478723404256,1.0121408336705786,1.1064855332124344,0.35888099999999995,1345058.851162,10031
2039,8,1,1,1,16,1,1,16,1,1,64,8,24,32,130,48,48,24,24,2,8,16,16,8,4,16,0.9917257620237518,0.5576063954855396,0.9641816557243308,0.7742668715584582,0.4961162203498011,0.9903931797938669,0.7672833063137089,0.7241573033707865,0.6690743713215623,0.7705338962157562,0.471076,1621663.201033,4937
2040,8,3,3,1,16,3,2,32,3,2,32,20,24,24,96,96,96,32,32,2,4,16,32,4,8,32,1.8920309005895508,0.7084391336818521,2.2275175013462576,1.2453656024716786,0.5990509335556546,1.800694042799306,1.2195552417931521,0.8408349641226354,1.0292181069958848,1.284745158595108,0.524953,1689395.195556,8523
2041,4,3,3,2,64,3,2,32,3,3,32,12,24,16,96,48,48,16,16,2,8,8,8,8,4,8,1.5154855728522112,0.670104549307714,1.2016558535876827,1.0700380497301123,0.544848169570431,1.4071228419054507,0.9037877995186774,0.9318072289156627,0.7805867665418227,1.0028263146588627,0.34451299999999996,1395646.63226,6852
2042,8,2,2,2,64,2,2,32,2,1,32,16,40,16,96,64,64,16,16,2,8,16,32,8,2,32,1.7767871631618637,0.7152767305082189,1.439951264794616,1.2113698973203106,0.5887433307926829,1.8691750990601566,1.2083377050327002,0.9814720812182741,1.0195678760701181,1.2011867942176604,0.50725,1782012.535814,7127
2043,4,3,3,2,32,3,3,16,3,3,32,12,24,32,96,96,96,16,16,2,4,8,8,4,2,8,1.6151783622432598,0.6743921512867909,1.6086984703137153,1.0868685960812512,0.5507874822849911,1.64492795389049,0.9881309881309881,1.0,1.0064386317907446,1.1306025151135812,0.34319,1246062.551685,8526
2044,8,5,5,2,16,5,2,64,5,2,16,8,40,16,130,64,64,24,24,2,8,16,16,8,4,16,1.9459103454043656,0.7430675231082563,1.8822235704535113,1.241274892219257,0.6108560159350734,2.0503741842782732,1.259064902882548,1.028731045490822,1.088337684943429,1.3166489071906151,0.50604,1834323.646193,12125
2045,8,3,3,2,64,3,3,16,3,2,64,8,24,24,96,64,64,24,24,2,8,16,32,8,4,32,1.9720933189244167,0.7526182164392257,1.8951588271227855,1.4418147132466914,0.6142167046030594,2.1991523791177037,1.2930389221556886,1.0923728813559321,1.0390527627752388,1.3666131917489712,0.507618,1852240.275859,8844
2046,4,4,4,1,64,4,3,16,4,4,32,20,20,32,96,48,48,24,24,2,4,8,8,4,2,8,1.4918968308673837,0.6629857422421023,1.1564698755882765,1.100068228337503,0.5493405992612578,1.248101284275281,0.8277035120502132,0.8390106313733998,0.8951324266284896,0.9745232367359896,0.328007,1216202.130861,8140
2047,4,1,1,1,64,1,1,16,1,1,16,16,8,16,64,48,48,16,16,1,8,8,16,8,8,16,0.9911976612297714,0.5611025671359281,0.9633583045452782,0.7766288815388074,0.4919082644759676,0.9900038157788236,0.7683412280116529,0.7267430934034956,0.6690743713215623,0.7709286874934763,0.31821,1150504.641164,4225
2048,8,2,2,2,64,2,2,64,2,1,16,8,40,24,128,64,64,32,32,2,4,16,16,4,4,16,1.7825895422332887,0.7206016408386509,1.4681455190771961,1.2131320224719102,0.5868005602639887,1.6482688253809354,1.1324527188698417,1.0361736334405145,1.0072492952074104,1.1772681953093038,0.49222000000000005,1616069.469771,8572
2049,8,2,2,1,64,2,2,64,2,1,16,8,40,24,130,96,96,24,24,1,4,16,8,4,8,8,1.7133783758905723,0.6996607169198997,1.4577117349935393,1.2225142799373199,0.5816089790348008,1.6839450082605618,1.1874892593229076,0.8589515770768548,1.0233224222585924,1.1587313726327833,0.492162,1551641.363768,7273
2050,8,1,1,1,32,1,1,64,1,1,32,16,32,16,130,112,112,24,24,2,2,16,8,2,4,8,0.9914510794010962,0.5548666354702855,0.9089544039553196,0.7766288815388074,0.4926887412994427,0.8433658392434988,0.8090387542442337,0.7294850028296548,0.661990471148756,0.752052201014566,0.491242,1431831.027215,6729
2051,8,3,3,2,32,3,3,16,3,3,32,16,24,32,96,48,48,32,32,2,2,16,16,2,2,16,1.7949143226329036,0.7384399813171415,0.9254605115966887,1.2427418940444992,0.593373407207536,0.8255648015119228,0.7847992004361257,0.9360929557007989,0.9087936046511628,0.9722422976776421,0.475779,1520250.449261,8881
2052,8,1,1,1,16,1,1,16,1,1,64,8,40,24,64,64,64,32,32,2,2,16,16,2,8,16,0.9916412280841951,0.5449844881075491,0.8886780292179891,0.7757072294566681,0.49112635310200126,0.8248132288410314,0.801401002041195,0.7191742607401896,0.6644527098831031,0.744664281052658,0.456518,1354568.241411,5845
2053,4,2,2,2,16,2,1,16,2,1,32,8,8,16,96,96,96,16,16,2,4,8,16,4,2,16,1.357284526760974,0.6245720305504345,1.3589027595269383,0.7816489447658447,0.5335851826267162,1.2917502753428585,0.9326243049182098,0.9135364989369241,0.8806338028169014,0.9638375918050891,0.301133,1043988.077728,4539
2054,4,3,3,1,32,3,3,32,3,1,64,12,24,32,96,96,96,32,32,1,8,8,16,8,8,16,1.5508398320335932,0.6625226987009358,1.3806742323097463,1.0988686446453724,0.5484434977478977,1.7890299326124433,1.083343785275304,0.85288928098809,1.0309150865622423,1.110836332319514,0.36438400000000004,1363568.476259,7763
2055,8,5,5,1,64,5,3,16,5,3,16,8,20,16,130,112,112,16,16,1,4,16,8,4,2,8,1.9692558346205116,0.7308166409861325,2.0341775264322597,1.4693195625759417,0.6068815493552537,1.6098847376041217,1.2152655645444952,0.8614390732902651,1.0275267050123253,1.2805074660468119,0.470659,1619017.424801,11058
2056,8,3,3,1,16,3,1,32,3,2,32,12,24,32,96,48,48,32,32,1,2,16,32,2,8,32,1.3352127224601347,0.6479508196721312,0.9274663677130045,0.7827874158467115,0.5652108295984634,0.8499042079035924,0.7734151146131805,0.8115424973767051,0.8218862964180086,0.8350418079557702,0.471077,1426035.572419,7012
2057,8,5,5,1,64,5,4,32,5,4,32,12,40,32,130,112,112,8,8,1,8,16,32,8,4,32,1.7890659541339076,0.7174406292542732,1.5552700839704223,1.4950237992211164,0.6100569634624308,1.7492261959486377,1.1255171515131772,0.7943714050944947,1.0258408531583265,1.2068681150840874,0.517726,1936190.712318,11186
2058,4,3,3,1,32,3,1,64,3,3,64,20,24,16,96,112,112,24,24,1,4,8,16,4,8,16,1.3279730607061577,0.6217881489250131,1.5848659003831418,0.7824834994176265,0.5362918798356267,1.2844348432683004,0.9499326386406752,0.83882863340564,0.8741698706745893,0.9778631639174189,0.399793,1334939.30588,13174
2059,4,2,2,1,16,2,1,16,2,2,32,16,8,32,96,64,64,16,16,2,8,8,16,8,4,16,1.3631989454026145,0.5987880318141648,1.5621223564954683,0.7802619692863595,0.5338986711824575,1.3589914525844622,0.9989880005782854,0.833764553686934,0.8747813920951382,0.9894217081250984,0.320183,1255795.827529,4623
2060,8,5,5,2,64,5,1,16,5,4,32,20,40,32,130,48,48,8,8,2,2,16,32,2,2,32,1.1034388727184345,0.6559258747061264,0.8300668896321071,0.7848195742471443,0.5691568728585639,0.7367345446097054,0.729133692096655,0.7788519637462236,0.7312865497076023,0.7688238704802847,0.47268,1534559.076295,11076
2061,8,2,2,1,32,2,1,16,2,2,64,16,32,24,128,48,48,16,16,1,8,16,8,8,8,8,1.3811940697208496,0.6589330369547096,1.217393436994163,0.7843868582363053,0.5685075807757415,1.3290670599192798,0.8871713229252259,0.8137626262626263,0.8435075885328837,0.9426581755913094,0.499171,1685047.673773,6773
2062,4,2,2,1,32,2,1,64,2,2,16,20,20,16,128,64,64,16,16,1,8,8,8,8,2,8,1.255018035937026,0.6334980633097369,1.5507029053420807,0.7801612903225806,0.5394661603265021,1.3588296909965243,1.0061153174140944,0.825929090132422,0.8708217270194986,0.9800602534222739,0.343185,1255820.222231,5723
2063,4,3,3,2,32,3,2,32,3,1,16,12,24,24,96,64,64,8,8,2,4,8,32,4,2,32,1.388312511653925,0.6720986254782485,0.9944704892414954,1.0688085557716105,0.5503607053794086,1.5462836709077938,0.9355537503384782,0.8289389067524116,1.0503989920201595,1.0039140230603922,0.311603,1076198.930585,5509
2064,8,2,2,1,16,2,1,16,2,1,64,8,32,32,32,64,64,24,24,1,4,16,32,4,4,32,1.2818273846005523,0.6699152542372881,1.4425457715780297,0.7817752779932764,0.5676328613355257,1.278231465169747,0.9545517336648709,0.8156507066019827,0.8678001387925052,0.9622145104415308,0.446894,1383907.812635,5503
2065,8,5,5,1,16,5,5,32,5,4,32,12,40,24,130,112,112,8,8,1,4,16,16,4,4,16,1.790081070944289,0.7215883158375171,1.5550751879699247,1.5065719803152058,0.6084171868538685,1.5559361767859414,1.0265628714048016,0.8051217988757027,1.0191524042379787,1.1765007770250255,0.48854899999999996,1714024.782938,9758
2066,8,5,5,2,32,5,1,16,5,2,32,20,20,32,130,96,96,32,32,2,4,16,32,4,8,32,1.3731244190678529,0.6606769745089845,2.3240940162936603,0.7848195742471443,0.5738663273929477,1.320967368664661,1.1040102252756032,1.0138961719979025,0.8797045374604291,1.1150177349899095,0.524042,1743895.469785,10354
2067,4,3,3,2,16,3,3,16,3,3,16,8,24,24,96,112,112,8,8,2,4,8,8,4,2,8,1.4533969438826901,0.6583842309827873,1.4012533875338753,1.0838972796127817,0.5482391351600726,1.598761974119097,0.9416991468832621,0.8323288850624193,1.001601922306768,1.0577292117270838,0.314044,1179790.75192,6153
2068,4,1,1,1,16,1,1,32,1,1,16,16,8,24,64,48,48,16,16,1,8,8,32,8,8,32,0.9911976612297714,0.5611025671359281,0.9633583045452782,0.7766288815388074,0.4919082644759676,0.9900038157788236,0.7683412280116529,0.7267430934034956,0.6690743713215623,0.7709286874934763,0.316031,1141409.961237,3909
2069,4,2,2,2,64,2,2,16,2,1,16,16,32,24,130,64,64,24,24,2,8,8,8,8,8,8,1.4599860384491699,0.6502604880723882,1.3952664717787273,1.0768511509862415,0.5497119982208384,1.7893664378193674,1.0633059428184533,0.958601883986118,0.9377577802774654,1.0979009102676411,0.354682,1365242.563037,6502
2070,8,5,5,1,16,5,4,16,5,2,32,8,40,32,130,48,48,24,24,1,4,16,16,4,4,16,1.4782947090871548,0.7275655775425679,1.0277444200588015,1.2472280955082256,0.5919778898612369,1.199399029201017,0.8200417734738441,0.8255764304013663,0.8375753516409913,0.972822586308356,0.455852,1485781.835062,7457
2071,8,1,1,1,64,1,1,32,1,1,32,12,40,24,32,48,48,8,8,1,2,16,8,2,8,8,0.9367366349787881,0.552603984620762,0.7444211157768447,0.7759063201796599,0.4920904157259975,0.7493206373100301,0.668485411345871,0.6738107684265552,0.6658679446219382,0.6954714703318273,0.440983,1296270.906893,5310
2072,4,3,3,2,32,3,3,16,3,3,32,8,24,16,96,112,112,8,8,2,2,8,16,2,8,16,1.479622578516864,0.664937613907192,1.0810610680372854,1.0871128691508967,0.5490257922934084,0.9347661133159012,0.8940123169280132,0.827874116891458,1.0068438003220612,0.9472506965958978,0.324411,1143915.324247,7008
2073,8,5,5,2,16,5,4,32,5,5,64,16,40,24,130,64,64,8,8,2,4,16,16,4,4,16,1.6182535818611767,0.7720983232948071,1.5093960956029921,1.491796200345423,0.6097018312416134,1.6518144811220652,1.014833308855926,0.8339443605779598,1.0040144520272982,1.1673169594365846,0.498024,1762901.477434,13381
2074,8,5,5,2,16,5,5,32,5,2,64,8,20,16,130,48,48,16,16,2,2,16,16,2,4,16,1.3948667990557908,0.757183908045977,0.8429794171591604,1.2388587234914457,0.5976748572174695,0.8071734293687307,0.7832335872324991,0.9302381525138321,0.7877165354330709,0.9044361566131083,0.451852,1496097.828477,10185
2075,8,2,2,2,32,2,1,32,2,2,16,8,24,24,130,64,64,32,32,2,2,16,16,2,4,16,1.2633743738716114,0.6521380448233192,1.3018095987411487,0.7780029595316219,0.5646504657867204,0.9252703075102531,1.0086413265604017,0.9733199093883715,0.8693083072645117,0.9262794770531068,0.45900799999999997,1430211.085726,7398
2076,8,1,1,1,16,1,1,16,1,1,32,20,32,32,64,64,64,24,24,2,2,16,32,2,8,32,0.9915355809233621,0.5443590037874441,0.8806372635986233,0.774887059049694,0.49481122632822194,0.826329707662166,0.8010479701374881,0.7281114667670872,0.661990471148756,0.744856638822538,0.470143,1376147.001745,5474
2077,8,1,1,1,16,1,1,16,1,1,64,8,32,32,64,112,112,32,32,1,2,16,8,2,8,8,0.991609531572134,0.5443590037874441,0.9102211464407526,0.774887059049694,0.49361163365644606,0.8388789277211134,0.810462115880835,0.7281114667670872,0.6600686196885722,0.7502455005071198,0.46826999999999996,1381331.086339,5908
2078,8,3,3,1,64,3,1,64,3,2,32,20,24,32,96,96,96,8,8,1,2,16,16,2,8,16,1.1467419094499103,0.6512426197995331,1.056667234332425,0.7848195742471443,0.5692407605291279,0.8468610597323468,0.8422720624085812,0.7558639562157936,0.8769284712482468,0.8367375164403454,0.51483,1552410.210825,10939
2079,4,2,2,2,16,2,2,64,2,1,64,20,24,32,32,112,112,16,16,2,2,8,16,2,8,16,1.4480827129087217,0.6446921299442707,1.0615937379699731,1.07713891239478,0.5425853243070007,0.9424575655504921,0.9083977493821318,0.9703889585947303,0.9405791650996616,0.948435139572418,0.345209,1124994.056193,7044
2080,8,2,2,1,16,2,2,16,2,2,16,12,24,32,96,96,96,32,32,1,4,16,32,4,2,32,1.743403860743488,0.7141996687245896,1.8134590092064884,1.2311647322337609,0.5874560319421999,1.6235458088005235,1.1773726358834555,0.8465411558669002,1.0300658978583197,1.1963565334733028,0.474144,1513554.81094,6291
2081,8,5,5,1,32,5,4,32,5,5,32,12,20,24,130,64,64,8,8,1,4,16,8,4,4,8,1.7126847131999778,0.7146301039626337,1.552448864702571,1.5074171029668413,0.6045334259454013,1.5404829162093596,1.0335955963741885,0.8139339086508104,1.0158407798537774,1.1661741568739512,0.474919,1643614.473187,9239
2082,8,2,2,1,32,2,1,64,2,2,32,16,40,24,96,96,96,16,16,2,8,16,32,8,2,32,1.22990822172152,0.6462733342417223,1.750899470899471,0.781421647819063,0.564119534605606,1.4797528517110266,1.1207343973011548,0.8298283261802575,0.8856232294617564,1.0320623348823976,0.516183,1807170.702968,7060
2083,8,5,5,2,64,5,4,32,5,1,64,8,20,16,130,48,48,8,8,2,2,16,32,2,2,32,1.3311164506993907,0.7351208927464352,0.7503628008223485,1.2395571728768386,0.5870625733299766,0.7688753586486523,0.7574096808137496,0.8241687979539642,0.8078165374677002,0.8668322517065619,0.457601,1467657.109016,12951
